restaurant_id,address,neighborhood,cross_street,parking,dining,cuisines,hours,phone,website,payment,dress,chef,catering,private_facilities
52,8633 Gladyce Land East Aron ME,Furt,Sallie Track and Bayer Islands,Reiciendis autem delectus non rerum ratione provident impedit. Quas dignissimos modi facere aspernatur laborum ut. Eum est est ut qui. Ea fuga ut quia et voluptas. Commodi sed delectus velit perspiciatis voluptatibus quia delectus sapiente.,Ergonomic,"Fresh, Granite, Wooden","Monday - Friday, 8:00am - 4:00pm",(527) 389-6308 x7813,http://beryl.info,"Visa, Discover, MasterCard",Unbranded Fresh,Mrs. Paris Rath,Est quod voluptatem expedita laudantium laudantium. Deserunt qui nostrum. Eligendi reprehenderit facere ut est natus.,null
53,345 Leo Course Jamilside HI,Ton,Armstrong Mews and Geraldine Spring,Modi quis ea aut laudantium. Eos ea placeat soluta. Molestiae vel dolore et. Velit placeat voluptatum provident nihil. Iste ut temporibus cum minima eos ut itaque. Repudiandae illum excepturi omnis nam minus.,Small,Wooden,"Monday - Friday, 3:00am - 3:00pm",794.865.1309 x8313,http://corene.net,"Visa, Discover, MasterCard",Generic Soft,Freeda Rogahn,Repudiandae quod ut quia illo repellendus. Cumque odio odit blanditiis necessitatibus iusto.,null
54,830 Nolan Hollow West Olaside AR,Fort,Shields Circles and Wyman Lodge,Expedita voluptates qui id culpa doloribus expedita omnis. Rerum nisi voluptate perspiciatis qui quidem libero quis. Est corporis qui molestias perspiciatis quo ea ea aut temporibus. Dolores dolore sit laboriosam deleniti eum commodi molestias aut.,Awesome,Soft,"Monday - Friday, 12:00am - 1:00pm",(119) 556-7090 x989,https://wilfrid.info,"Visa, Discover, MasterCard",Handmade Metal,Boyd Krajcik,null,null
55,84523 Cordell Well Tyrellfurt OK,Berg,Mekhi Fork and Doyle Orchard,Ad ut id quis quas repellat nihil accusamus sequi. Ea sint dolor aut in laborum at quod distinctio. Eos et sint ullam in est necessitatibus.,Rustic,"Granite, Frozen, Frozen","Monday - Friday, 11:00am - 7:00pm",688-472-4306 x04023,https://easter.org,"Visa, Discover, MasterCard",Handcrafted Plastic,Alfonso Grady PhD,null,null
56,613 Wolff Common Bayerside ND,Stad,Guillermo Ramp and Wolff Gardens,At alias incidunt excepturi reiciendis error et. Vero illo rerum molestias. Molestias beatae adipisci deleniti facilis eveniet.,Handmade,"Wooden, Steel, Fresh","Monday - Friday, 2:00am - 9:00pm",(999) 425-6379 x6518,https://joyce.info,"Visa, Discover, MasterCard",Handmade Granite,Hazel Herman Jr.,null,null
57,816 Kulas Canyon Ornburgh SD,Furt,Bashirian Track and Klocko Forges,Dolores id iure perspiciatis qui et dignissimos. Rerum illum ab voluptates. Eum at voluptate aut ab.,Refined,"Plastic, Fresh, Soft","Monday - Friday, 11:00am - 12:00pm",1-272-501-5223 x5609,http://tito.name,"Visa, Discover, MasterCard",Intelligent Soft,Cleta Frami,Quo eos quos. Quo cumque qui nisi. Nihil libero corporis provident omnis voluptatem voluptatibus reprehenderit laboriosam velit. Labore ea unde. Est non ut tempore rerum deserunt quo quo. Recusandae maxime laboriosam at libero in et voluptatem eum velit.,null
58,6349 Jast Cape Hudsonmouth CA,Fort,Thiel Wall and Jermey Harbors,Ullam laboriosam impedit non dolores. Explicabo odit molestias ut dolorem voluptatem sunt suscipit. Placeat veniam mollitia quis explicabo ut et voluptatem quo.,Licensed,"Fresh, Wooden, Rubber","Monday - Friday, 3:00am - 10:00pm",584-565-7941 x5905,http://jayda.com,"Visa, Discover, MasterCard",Gorgeous Plastic,Dave Howell,null,null
59,72103 Gust Ports South Lily IL,Ville,Brekke Vista and Kertzmann Port,Perferendis doloribus quia delectus et magnam error fuga. Iusto rerum est et nisi. Nemo omnis modi nostrum consectetur expedita voluptates alias enim commodi. Quia aliquam enim non sed quidem modi. Veniam magnam dignissimos.,Handcrafted,Soft,"Monday - Friday, 6:00am - 10:00pm",880-803-4554,https://sabrina.net,"Visa, Discover, MasterCard",Rustic Frozen,Gay Schinner,Sit iste qui aut et. Qui harum quo et autem voluptas perspiciatis velit.,Et autem pariatur. Voluptatem quaerat ratione voluptatem quis consequatur delectus dolor. Porro nobis consequatur.
60,7492 Hermann Crossing New Serena MI,Mouth,Lucienne Dale and Wilkinson Road,Quas enim amet maxime sequi provident. Illum eveniet vel excepturi quas. Aut excepturi deleniti harum qui. Rerum molestiae maiores repellat non sit. Voluptatum ullam eos porro pariatur. Dolor impedit dolorem.,Refined,Metal,"Monday - Friday, 9:00am - 1:00pm",746-602-7776,https://ashly.org,"Visa, Discover, MasterCard",Sleek Soft,Pauline Cummerata,null,null
61,67441 Jenkins Extension Estebantown PA,Berg,Audreanne Park and Daren Neck,Voluptas qui id amet ullam aperiam modi illum. Temporibus quasi incidunt est qui aut. Nesciunt iste est aut dolorem dolorum cupiditate beatae officiis facilis. Doloremque rerum facilis est voluptatem.,Small,"Wooden, Wooden, Cotton","Monday - Friday, 10:00am - 9:00pm",198.837.1628 x9441,https://amos.net,"Visa, Discover, MasterCard",Rustic Cotton,Kamille Muller,null,null
62,86568 Leland Center Walshbury ME,Burgh,Martina Mall and Bernhard Rest,Voluptatum amet omnis voluptatum quia. Cupiditate explicabo excepturi architecto exercitationem. Enim quisquam quos quia tempore et excepturi similique reprehenderit. Qui quibusdam est. Optio id ut atque quis quo magnam.,Generic,"Plastic, Metal","Monday - Friday, 2:00am - 11:00pm",771-928-3025 x56026,http://julio.com,"Visa, Discover, MasterCard",Gorgeous Metal,Abigail Heidenreich,null,Aut beatae et odio dolorum et modi non sint alias. Magnam magni dignissimos ipsum iste ut.
63,99126 Lyric Island North Maribelborough AK,Bury,Francesco Light and Garrett Expressway,Illum aut reprehenderit sunt. Aliquid consequuntur eum nemo dicta. Quos at suscipit maiores numquam ut consequatur. Delectus distinctio ipsa odit.,Awesome,"Granite, Soft, Steel","Monday - Friday, 9:00am - 1:00pm",663-005-8749 x930,http://yvonne.net,"Visa, Discover, MasterCard",Gorgeous Soft,Layne O'Keefe,Sunt dolorum totam aut illo ullam consequatur. Veritatis architecto optio illo laborum. Omnis a hic sit voluptatum facilis architecto quod.,Harum ipsa et minus. Est eos sit aliquam unde aut rerum non nihil nam. Cum omnis delectus maxime voluptas minus iste.
64,3547 General Dam New Eulalia NM,Furt,Flavio Dam and Desiree Mews,Et cum quisquam esse. Minima dolor necessitatibus quibusdam quae nulla sed voluptatem. Debitis culpa ducimus blanditiis quidem atque totam.,Intelligent,"Frozen, Metal","Monday - Friday, 9:00am - 5:00pm",589.665.5036 x12581,http://doug.name,"Visa, Discover, MasterCard",Generic Frozen,Miss Karley Wiegand,null,null
65,17324 Dicki Trafficway Cristinamouth MA,Mouth,Eleanore Landing and Lockman Track,Maxime distinctio exercitationem animi officiis architecto labore fuga deserunt et. Officia odio laboriosam error id sunt saepe. Quibusdam qui libero magnam deserunt ab nisi amet exercitationem. Deleniti similique dolor nisi. Possimus saepe odit ut eveniet asperiores consequatur odio aperiam enim.,Generic,Cotton,"Monday - Friday, 3:00am - 7:00pm",1-200-387-1301,https://noelia.info,"Visa, Discover, MasterCard",Incredible Rubber,Hayden Kutch,null,null
66,993 Mohr Passage McLaughlinport NY,Stad,Koelpin Estate and Johns Cliffs,Minima qui et et sed. Ut at laborum architecto. Hic id eaque accusamus quidem aut. Dolorum magnam qui numquam. Sed consequatur corrupti vitae repudiandae doloribus molestias porro.,Gorgeous,"Granite, Metal","Monday - Friday, 11:00am - 11:00pm",319.987.9517 x0283,http://curt.info,"Visa, Discover, MasterCard",Incredible Granite,Miss Jordan Von,null,Facilis atque sit. Et qui velit. Quo aliquid magni ea quos repellendus velit quo magnam. Optio dolores maiores veniam dolorem unde illum iusto aspernatur aspernatur. Illo temporibus dolorem.
67,1831 Agustin Cape Hortenseport NV,Land,Connelly Brooks and Spinka Extension,Velit sed sed officia iste consequatur quo et ducimus neque. Ipsam voluptas voluptas. Ducimus molestiae et.,Handcrafted,"Rubber, Wooden","Monday - Friday, 8:00am - 4:00pm",1-960-667-4657,https://schuyler.com,"Visa, Discover, MasterCard",Handcrafted Wooden,Mr. Darius Ferry,null,null
68,0718 Hope Extension East Leochester MD,Borough,Alec Turnpike and Ellis Isle,Quia sed dolor. Non quod similique non deleniti. Excepturi commodi enim. Quae quis et quod accusantium delectus ut eveniet.,Licensed,"Rubber, Metal","Monday - Friday, 3:00am - 8:00pm",(116) 865-5355 x4527,http://torey.info,"Visa, Discover, MasterCard",Handcrafted Frozen,Mabel Zemlak,Culpa praesentium quaerat earum quam ad est ut. Rerum id velit et aut est porro.,null
69,6829 Bergnaum Villages Lake Elijahberg MT,Shire,Hayes Ports and Wilburn Rue,Aut dolorem perferendis sunt vel minus iusto et fugiat. Libero distinctio minima cupiditate. Cumque odit et aut illo itaque nam molestiae consequatur odit.,Ergonomic,"Soft, Cotton","Monday - Friday, 5:00am - 3:00pm",(408) 033-0406 x047,http://haylie.net,"Visa, Discover, MasterCard",Intelligent Steel,Mrs. Cydney Crooks,null,null
70,7394 Tony Shore West Amosport VA,Burgh,Schroeder Club and Florine Crossing,Qui dicta placeat doloremque quas iusto aut molestias quae tempore. Facilis ea in sunt praesentium expedita non nihil. Alias modi sunt et id sequi. Mollitia et incidunt non et possimus.,Small,"Metal, Metal, Cotton","Monday - Friday, 5:00am - 7:00pm",1-229-128-4051 x980,https://marlen.net,"Visa, Discover, MasterCard",Practical Metal,Jameson Quitzon,Consequuntur veniam vero. Iusto aperiam illo numquam sed.,null
71,868 Quinten Trail New Katelynn MN,Borough,Tremblay Lodge and Runolfsdottir Crescent,Et voluptatem accusantium consequatur aut ipsum earum animi quia. Magnam dolores est quidem minima quod recusandae error. Sed id voluptatibus rerum inventore sed eos in. Voluptas laborum ut alias ut dolor. Fugiat minima tempora quia aut atque.,Sleek,"Wooden, Wooden","Monday - Friday, 3:00am - 4:00pm",167-851-0399 x925,https://lavina.biz,"Visa, Discover, MasterCard",Handcrafted Concrete,Luther Hilll,Beatae ratione cum animi eum. Aut voluptas quibusdam dolores dolor vel. Eos soluta quia commodi architecto et omnis qui dolores.,Quasi perferendis minus praesentium iste id hic et voluptas aspernatur. Quis illo quibusdam ab velit qui quae quia.
72,45751 Schmeler Tunnel South Deangelobury MI,Bury,Coy Port and Parker Inlet,Tempore sapiente quas. Quia consequatur non dicta repudiandae laboriosam. Fugiat et non in voluptas sint voluptatem nemo placeat a. Dolores eligendi omnis id. Corporis beatae reprehenderit necessitatibus qui. Hic et voluptatem.,Handmade,"Concrete, Soft","Monday - Friday, 7:00am - 9:00pm",(164) 895-5876,http://jeremie.org,"Visa, Discover, MasterCard",Small Granite,Furman Mayer,null,null
73,7974 Stanley Well East Nicolettestad AR,Side,Blanda Mission and Dangelo Squares,Dolore laborum odio itaque reprehenderit culpa dolore. Tempora amet ea et laboriosam earum voluptas enim.,Licensed,"Frozen, Metal, Plastic","Monday - Friday, 6:00am - 4:00pm",(066) 249-8711,http://tristin.info,"Visa, Discover, MasterCard",Practical Concrete,Jessie Kunde Jr.,null,null
74,86099 Kessler Cliffs West Melyna VT,Shire,Matilda Circles and Chet Meadow,Iusto dolor voluptatem. Facere blanditiis voluptatibus sed fugiat.,Generic,Metal,"Monday - Friday, 4:00am - 3:00pm",128.293.7705 x04146,https://terrance.net,"Visa, Discover, MasterCard",Rustic Frozen,Jaydon Herzog,null,Quos ut doloribus eos soluta. Quia consectetur est sit est quo voluptatibus. Explicabo et totam hic totam. Tempore quas illum exercitationem perspiciatis id ipsum incidunt qui quis. Facilis reprehenderit aspernatur repudiandae aut blanditiis. Fugit repudiandae enim perferendis.
75,33576 Elyse Via Angelitaview DE,Port,Rogahn Landing and Trever Locks,Esse voluptatem et beatae minus. Velit excepturi asperiores aut nihil alias ullam rem ullam libero.,Licensed,"Soft, Soft","Monday - Friday, 8:00am - 11:00pm",1-655-697-4548,https://francesco.biz,"Visa, Discover, MasterCard",Handmade Soft,Miss Millie Klocko,null,null
76,73596 Hegmann Walk Lake Ednaside AR,Borough,Marley Avenue and Dejon Islands,Neque ad dolorem dolorum vitae laudantium. Nemo dignissimos dolores ullam a. Vel aut quam. Illum temporibus voluptatum tempora facilis repudiandae exercitationem et culpa minima. Optio autem sit iste aut mollitia nulla ullam consequatur. Voluptatem vero sequi.,Sleek,"Rubber, Plastic, Granite","Monday - Friday, 8:00am - 4:00pm",(215) 386-9442,http://johnathan.com,"Visa, Discover, MasterCard",Unbranded Granite,Dr. Ila Windler,Ipsam sapiente voluptate dolor voluptas quidem. Ullam necessitatibus et ut distinctio dolorem eius iste.,null
77,26594 Baumbach Trace South Arvilla MD,View,Tressie Locks and Schuster Shores,Voluptas quis aut excepturi eum. Dolores sed molestiae aut repellat facilis esse libero blanditiis aut. Est molestias sint enim officiis velit dicta amet quo. Nostrum tempora labore dignissimos quia consequatur temporibus quaerat corporis. Magni saepe voluptas omnis accusantium. Distinctio exercitationem recusandae voluptatem consectetur.,Tasty,"Granite, Steel","Monday - Friday, 8:00am - 7:00pm",1-494-649-0209,http://raul.info,"Visa, Discover, MasterCard",Refined Cotton,Mr. Ezra Crist,null,null
78,115 Ephraim Oval New Shaniya NV,Bury,Verner Walk and Oberbrunner Junctions,Ipsa voluptatem distinctio sed rem sunt quia iusto. Animi velit eos quam est repellendus animi. Sint est est quaerat dicta consequatur tempora architecto animi nihil. Placeat velit et molestiae facere similique quia odio molestiae atque. Nam sint sapiente rerum voluptates. Sint perferendis sit fuga.,Licensed,"Plastic, Wooden","Monday - Friday, 11:00am - 11:00pm",1-502-464-3253 x469,http://darien.net,"Visa, Discover, MasterCard",Licensed Granite,Hildegard Wuckert,null,Eos nihil voluptatem. Illo ut amet quia minima earum blanditiis asperiores maxime. In vel hic ex. Eos voluptatibus amet quam eum recusandae quae. Nesciunt error quia error culpa.
79,09239 Chelsie Wells Leannonhaven NC,Port,Rahsaan Hill and Luettgen Mount,Ut ea sit. Mollitia sed non non voluptas aut neque neque cumque iusto. Maiores quibusdam quisquam voluptas.,Rustic,Steel,"Monday - Friday, 3:00am - 7:00pm",(162) 342-5271 x337,https://loraine.info,"Visa, Discover, MasterCard",Gorgeous Rubber,Royal Gaylord,Illo quae omnis qui unde sit dolore. Doloribus non ut. Similique ex asperiores omnis molestiae et voluptatibus tempora. Esse enim et sit maiores maxime.,null
80,280 Cole Branch Wittingchester MT,Port,Lubowitz Junction and Schowalter Causeway,Itaque ut voluptate dolores sed. Accusamus quaerat nihil. Accusantium illum animi deleniti repellendus doloremque non quidem. Tenetur aut velit quod eos voluptate et sed ut sunt. Eum dolores distinctio repudiandae ad. Voluptatem at amet laudantium.,Ergonomic,"Cotton, Soft, Steel","Monday - Friday, 7:00am - 7:00pm",569-598-0322,http://alyson.biz,"Visa, Discover, MasterCard",Unbranded Frozen,Ms. Dario Dickinson,null,null
81,230 Durward Hollow Smithamfort CA,Ton,Fritsch Port and Orlando Inlet,Modi quia vel. Ea repellat aspernatur excepturi ad veniam. Dolor vel commodi vero id provident quia est unde. Est quasi cum tempora reprehenderit saepe pariatur. Et et doloremque assumenda non. Aut mollitia non laudantium suscipit.,Gorgeous,Metal,"Monday - Friday, 8:00am - 7:00pm",1-097-064-8652,http://maia.biz,"Visa, Discover, MasterCard",Handmade Soft,Ms. Gideon Shields,null,null
82,459 Wiza Trail Enolachester MD,Furt,Ebony Parks and Velma Meadow,Vitae quibusdam labore. Velit laborum magni et et temporibus quasi.,Gorgeous,Fresh,"Monday - Friday, 11:00am - 4:00pm",1-058-401-5846 x771,http://wilburn.com,"Visa, Discover, MasterCard",Fantastic Metal,Cruz Trantow,null,null
83,54501 Magnus Hills Venafurt NM,Haven,Abagail River and Casper Landing,Sit quibusdam corrupti assumenda aut molestias blanditiis. Aliquam natus necessitatibus. Reiciendis animi et accusamus optio ullam sit occaecati. Quas ipsam ut.,Tasty,"Granite, Plastic, Concrete","Monday - Friday, 8:00am - 3:00pm",849-101-5022,http://wyman.com,"Visa, Discover, MasterCard",Gorgeous Soft,Sigmund Daugherty IV,Sunt sed tempore autem. Sit deserunt sed non ipsam eum dolorum qui.,null
84,48121 Mante Lane South Leopoldoton CA,View,Brooks Track and Zander Heights,Quaerat sed eum consequatur eaque ut quam. Sed voluptatem ratione autem a nam hic. Rerum veritatis sed.,Handmade,"Steel, Frozen","Monday - Friday, 3:00am - 2:00pm",579.683.1312 x21439,https://daren.name,"Visa, Discover, MasterCard",Gorgeous Granite,Keven Hamill,null,Exercitationem voluptatem ut eligendi doloribus sit veritatis repellendus quis. Quo eaque eaque quia. Porro vel quam.
85,73137 Effertz Roads Estefaniaport AZ,Ville,Art Flats and Reece Mount,Atque deleniti et. Voluptas rerum autem porro sapiente aut rerum quia eum. Eum vero pariatur et est voluptas. Expedita eligendi vel. Quia voluptatem libero eum numquam ut itaque corrupti porro.,Fantastic,"Rubber, Soft","Monday - Friday, 3:00am - 7:00pm",569-926-1448,https://abigale.info,"Visa, Discover, MasterCard",Fantastic Plastic,Thaddeus Haag,null,null
86,956 Batz Square Hackettmouth NH,Berg,Rowland River and Toney Roads,Ex aliquam ipsam sit. Sint facere aut.,Gorgeous,"Concrete, Fresh","Monday - Friday, 6:00am - 1:00pm",234.401.3635 x93508,http://lance.name,"Visa, Discover, MasterCard",Small Metal,Carmel Blick,Qui et autem. Officia porro ut quod. Eaque aliquid dolores dolorem animi odio ut dicta aliquid enim. Exercitationem aut quod molestiae id voluptates. Voluptatibus vel dolores accusamus.,null
87,80300 Herzog Ports Shakirabury VA,Mouth,Eryn Extensions and Heber Valleys,Molestiae numquam labore suscipit tenetur nam sed totam quae distinctio. Voluptates neque sed veritatis laboriosam voluptate. Est expedita qui dolore nihil sunt occaecati. Vel ut deleniti nobis sit aspernatur suscipit.,Generic,"Wooden, Granite","Monday - Friday, 12:00am - 7:00pm",(191) 113-8808,http://chadd.biz,"Visa, Discover, MasterCard",Generic Concrete,Ned Davis,null,Odit quasi nisi dignissimos nisi in impedit. Dignissimos sit quas ullam sapiente beatae est sequi rerum ut. Non laborum optio itaque vel sint nesciunt. Molestias praesentium earum culpa quod vero qui nostrum harum. Temporibus iusto aut voluptatem aut alias quia in qui. Corrupti non quos et est minus ut quo veritatis quam.
88,0613 Howell Roads Adashire NH,Berg,Emmerich Estates and Koss Land,Autem saepe atque et molestiae laudantium rerum. Non enim nobis occaecati tempore id molestiae quia id culpa.,Tasty,Cotton,"Monday - Friday, 10:00am - 11:00pm",926.876.7702 x433,http://ari.net,"Visa, Discover, MasterCard",Handmade Soft,Alexandre Leannon,null,Nisi qui non. Dolorem harum et cum libero eaque vel ea. Quis blanditiis ratione labore architecto dicta commodi eos.
89,39965 Hamill Wells East Julianneside NV,Mouth,Conroy Ville and Abbey Common,Similique et sit tempore non in iste. Quia voluptas est laboriosam et ut eos sed voluptas quod. Blanditiis optio consequatur dolorem id veritatis pariatur vel sit. Recusandae error sunt sint repudiandae ducimus nihil. Dolores illum corporis voluptas autem repellendus et rerum. Velit aut soluta modi.,Tasty,Steel,"Monday - Friday, 12:00am - 11:00pm",1-028-139-2027 x4629,https://kathryne.net,"Visa, Discover, MasterCard",Refined Concrete,Adeline Schulist,Aut quas aspernatur temporibus minima. Ullam ut perferendis rerum non quia recusandae dignissimos mollitia. Tempora eveniet ad numquam saepe animi maiores assumenda consequatur nihil. Ut impedit rerum eveniet ea. Quibusdam nulla sequi et sapiente explicabo quia ut nisi. Qui rerum vero aperiam qui hic ut.,null
90,57339 Price Glens Isomview KS,Land,Dickens Mount and Zieme Court,Id tempora pariatur vel dolores. Ex soluta a at ipsum necessitatibus aut vitae maxime placeat. Sequi autem neque. Quae est aliquam dolores perspiciatis repudiandae rerum architecto.,Sleek,"Steel, Fresh, Metal","Monday - Friday, 6:00am - 3:00pm",1-102-985-5242 x078,https://alisha.com,"Visa, Discover, MasterCard",Practical Plastic,Mrs. Isadore Hyatt,null,null
91,88339 Volkman Trace Lake Leone WV,Mouth,Schimmel Drives and Mariah Shoal,Quod illo blanditiis blanditiis quia. Omnis eligendi porro molestias et. Reiciendis est veritatis ad quidem autem omnis voluptatum error. Dolore explicabo vel voluptas perspiciatis.,Fantastic,"Wooden, Frozen","Monday - Friday, 8:00am - 3:00pm",1-897-604-3467 x73299,http://fatima.name,"Visa, Discover, MasterCard",Unbranded Fresh,Moshe Schneider,Et accusamus nesciunt totam magni blanditiis repudiandae. Ratione autem quos amet tempore sequi ducimus molestias explicabo.,null
92,17061 Bailey Radial South Adelbert SC,Borough,Kohler Mountain and Jast Glen,Sit repellat tempora voluptatibus asperiores nihil et voluptas. Neque eum fugit.,Awesome,"Soft, Wooden","Monday - Friday, 11:00am - 3:00pm",912-495-4019,http://garland.com,"Visa, Discover, MasterCard",Small Granite,Frieda Jacobs,Suscipit aut officiis cum quo recusandae. Consequatur eveniet non aut.,null
93,6640 Grant Gardens East Kylefurt WA,Haven,Madaline Stravenue and Ubaldo Light,Vitae aliquid exercitationem qui et nemo aut. Alias voluptas mollitia aut fugiat error qui odio. Reiciendis deleniti et fugiat aut quia. Iusto tenetur aut eum eius cumque qui. Et ut accusantium expedita et amet.,Refined,Concrete,"Monday - Friday, 4:00am - 7:00pm",1-768-638-6548 x0157,https://joan.net,"Visa, Discover, MasterCard",Handmade Granite,Lois Volkman,null,Ullam magni aliquid debitis est esse labore cumque. Voluptatem animi omnis aut quo. Consequuntur porro dolores ullam odio suscipit dolorem quia ipsa. Asperiores illo blanditiis totam quia quidem fugit voluptas sunt recusandae.
94,497 Esperanza Station Schimmelton IN,Side,Edmond Place and Weimann Tunnel,Placeat dolore eaque exercitationem mollitia. Voluptas similique quidem. Sit id qui commodi occaecati iusto.,Tasty,Cotton,"Monday - Friday, 9:00am - 12:00pm",777-786-2099 x35804,https://edythe.net,"Visa, Discover, MasterCard",Small Plastic,Montana West,null,null
95,03314 Haag Rapid West Elroyside SD,Bury,Armstrong Flats and Hauck Passage,Iusto necessitatibus libero minus natus nostrum suscipit quos id vitae. Eos ullam explicabo laboriosam iure nisi sint. Aperiam tempora iure tempora molestias ipsum dolores et nobis.,Handcrafted,Cotton,"Monday - Friday, 8:00am - 7:00pm",371-574-1088,https://johnnie.info,"Visa, Discover, MasterCard",Incredible Metal,Dianna Beatty,Neque pariatur dolor possimus natus. Quidem et vero quaerat quae nisi aut beatae natus.,null
96,860 Orie Point Schusterhaven NY,Stad,Dejon Ville and Karl Cove,Est similique architecto suscipit nisi maxime consequatur. Aspernatur sunt provident. Non dolorem dolorem minima aliquid velit repellat. Quibusdam dicta deleniti.,Intelligent,"Metal, Fresh, Concrete","Monday - Friday, 1:00am - 11:00pm",1-762-002-5082 x7706,http://otto.com,"Visa, Discover, MasterCard",Rustic Rubber,Andreanne Zboncak,null,null
97,30115 Watsica Trace Johnsshire NM,Bury,Gene Plains and Bradford Highway,Autem quia veritatis aliquam. Velit optio nam ipsam eius. Et hic veritatis. Rerum labore consequuntur.,Licensed,"Cotton, Cotton","Monday - Friday, 9:00am - 10:00pm",(914) 092-7312,https://estella.info,"Visa, Discover, MasterCard",Handmade Plastic,Bernadine Oberbrunner,null,null
98,516 Frami Forest Tracyton ME,Shire,West Wall and Zita Throughway,Omnis esse occaecati eius et tenetur. Quisquam corporis nulla voluptate qui accusantium perferendis aut fuga. Doloremque vero repudiandae delectus voluptatem consequatur. Mollitia sequi optio sequi minus minima in. Sit repellat architecto velit aliquam.,Generic,Fresh,"Monday - Friday, 4:00am - 4:00pm",1-054-781-0414 x861,https://cara.net,"Visa, Discover, MasterCard",Handcrafted Concrete,Sylvan Mann,null,Non sapiente iure qui at cum accusantium magnam ipsum modi. Sed modi dicta explicabo temporibus quia quo blanditiis temporibus facilis. Vero hic esse explicabo cumque quia sed unde tempore corporis. Et impedit a voluptate repellat dolor necessitatibus. Qui quis et reprehenderit harum aliquid molestiae ut.
99,179 Emma Shoal Port Minervaberg HI,Burgh,Huels Creek and Luis Burg,Est nam quia. Debitis id non aut unde est repellat labore placeat. Voluptatibus earum et voluptas.,Ergonomic,"Soft, Metal, Soft","Monday - Friday, 8:00am - 5:00pm",236.470.5854,http://karolann.com,"Visa, Discover, MasterCard",Intelligent Frozen,Faye Weimann,Et libero molestiae voluptatum harum ut. Sit aut cupiditate voluptatibus temporibus neque. Consequatur voluptas optio commodi repudiandae accusamus non rerum.,null
100,93345 Dejuan Mountain New Raoul RI,Stad,Dell Streets and Quitzon Island,Qui dolorum repellat sint et et dolores repellat in. Cum id illum eum iste hic totam fugit blanditiis.,Ergonomic,"Cotton, Rubber, Rubber","Monday - Friday, 6:00am - 12:00pm",883-242-7890 x8465,http://reva.info,"Visa, Discover, MasterCard",Licensed Frozen,Jerome Altenwerth,Qui sequi quos et laborum quia. Similique totam qui ut sint harum maxime sit adipisci asperiores. Quaerat quidem adipisci libero molestias excepturi rem iure magnam vel. Libero facere vel velit sed reprehenderit tenetur ut veniam. Reprehenderit mollitia enim porro.,null
